ID,Male,Age,College,AgeTryCig,CigDays,AgeTryAlc,AlcDays,Drinker,DrinkFreq
158,0,23,0,16,5,16,15,1,2
159,0,49,0,16,30,17,0,0,0
160,1,21,1,16,1,14,4,1,1
161,1,14,0,16,0,15,0,0,0
162,0,16,0,16,0,14,0,0,0
163,1,16,0,15,0,10,0,0,0
164,0,40,0,10,30,18,0,0,0
165,0,40,1,19,0,23,0,0,0
166,0,72,0,21,0,23,0,0,0
167,1,63,0,20,10,16,15,1,2
168,1,55,1,25,19,10,30,1,2
169,1,15,0,15,7,13,0,0,0
170,1,35,0,17,0,16,20,1,2
171,0,49,0,34,20,19,0,0,0
172,1,23,1,17,0,18,12,1,2
173,1,52,0,13,0,16,0,0,0
174,0,36,0,17,28,17,0,0,0
175,1,14,0,15,0,15,0,0,0
176,0,20,0,16,0,16,0,0,0
177,0,31,1,16,0,15,0,0,0
178,1,49,1,19,9,21,0,0,0
179,0,50,0,18,0,15,0,0,0
180,1,17,0,16,2,17,1,1,1
181,0,72,1,18,30,18,30,1,2
182,0,72,1,21,0,20,0,0,0
183,0,72,1,17,0,18,30,1,2
184,0,45,0,20,7,25,0,0,0
185,1,67,1,18,0,15,20,1,2
186,1,85,1,18,0,18,30,1,2
187,1,27,0,16,0,12,0,0,0
188,0,32,1,15,30,15,0,0,0
189,1,34,1,17,0,15,10,1,2
190,0,17,0,16,0,16,0,0,0
191,1,18,0,16,1,15,0,0,0
192,0,67,0,20,30,22,0,0,0
193,0,18,0,16,5,17,0,0,0
194,1,20,1,16,0,15,0,0,0
195,0,66,0,20,14,22,0,0,0
196,0,33,0,15,30,16,0,0,0
197,0,25,0,17,30,16,4,1,1
198,0,77,0,22,0,24,0,0,0
199,0,68,1,21,0,22,0,0,0
200,1,12,0,15,0,14,0,0,0
201,1,15,0,16,0,15,0,0,0
202,0,12,0,16,0,16,0,0,0
203,0,34,0,17,0,17,0,0,0
204,1,20,0,16,0,13,0,0,0
205,0,15,0,16,0,16,0,0,0
206,1,18,0,16,7,16,0,0,0
207,0,37,0,17,30,17,3,1,1
208,1,34,0,16,30,16,3,1,1
209,1,14,0,16,0,15,0,0,0
210,0,25,0,18,6,15,0,0,0
211,1,35,1,18,0,19,0,0,0
212,0,24,0,22,30,16,8,1,2
213,0,21,0,17,0,17,1,1,1
214,1,18,0,16,7,15,0,0,0
215,1,15,0,16,0,15,0,0,0
216,0,30,0,21,0,17,2,1,1
217,1,51,1,21,30,20,0,0,0
218,1,16,0,16,0,15,0,0,0
219,1,42,0,13,15,10,10,1,2
220,0,17,0,16,0,17,0,0,0
221,1,24,0,24,11,15,8,1,2
222,0,32,0,17,0,17,0,0,0
223,0,72,0,17,13,21,4,1,1
224,0,12,0,16,0,15,0,0,0
225,1,33,1,16,1,12,30,1,2
226,1,12,0,16,0,14,0,0,0
227,0,34,0,13,30,17,7,1,1
228,1,16,0,16,7,15,0,0,0
229,0,31,0,25,0,12,0,0,0
230,0,63,0,20,0,21,0,0,0
231,0,30,0,18,0,19,0,0,0
232,1,19,0,16,0,15,0,0,0
233,1,28,0,16,0,16,0,0,0
234,0,47,0,18,30,18,4,1,1
235,0,31,0,16,0,14,0,0,0
236,0,52,1,18,30,20,30,1,2
237,0,22,0,16,0,17,0,0,0
238,0,58,1,19,9,17,24,1,2
239,0,44,0,20,0,30,0,0,0
240,0,15,0,16,0,16,0,0,0
241,1,54,1,17,0,16,0,0,0
242,1,13,0,15,0,14,0,0,0
243,1,30,0,19,30,19,4,1,1
244,0,47,0,19,0,19,0,0,0
245,1,17,0,16,30,17,5,1,1
246,1,13,0,16,2,15,0,0,0
247,1,16,0,16,0,15,0,0,0
248,0,12,0,16,1,16,0,0,0
249,1,54,0,17,0,14,0,0,0
250,0,25,0,17,12,18,0,0,0
251,0,26,1,23,30,18,2,1,1
252,0,31,0,18,30,22,8,1,2
253,0,25,0,18,0,21,0,0,0
254,0,58,0,15,0,30,0,0,0
255,0,40,0,18,0,18,2,1,1
256,1,14,0,16,0,15,0,0,0
257,1,19,0,16,30,16,0,0,0
258,1,14,0,16,0,15,0,0,0
259,0,24,0,17,0,19,2,1,1
260,1,26,0,16,0,15,0,0,0
261,0,59,0,20,0,20,3,1,1
262,0,22,1,17,0,17,0,0,0
263,0,14,0,16,0,16,0,0,0
264,1,16,0,16,0,13,0,0,0
265,0,19,0,16,30,12,2,1,1
266,0,25,1,17,0,16,1,1,1
267,0,19,0,17,20,18,0,0,0
268,0,43,0,18,0,19,0,0,0
269,1,32,0,16,0,14,0,0,0
270,0,14,0,15,0,10,0,0,0
271,1,47,1,18,0,16,7,1,1
272,0,35,1,17,0,16,2,1,1
273,0,22,1,16,0,16,0,0,0
274,0,19,0,18,15,12,0,0,0
275,1,18,0,16,15,15,15,1,2
276,1,47,0,19,0,19,0,0,0
277,0,33,0,17,10,16,30,1,2
278,0,48,1,19,6,20,5,1,1
279,1,17,0,16,7,15,0,0,0
280,0,24,1,17,0,17,0,0,0
281,0,19,0,16,0,16,0,0,0
282,1,24,0,21,7,20,0,0,0
