ID,Male,Age,College,AgeTryCig,CigDays,AgeTryAlc,AlcDays,Drinker,DrinkFreq
687,1,17,0,16,6,17,2,1,1
688,1,13,0,16,0,14,0,0,0
689,1,33,0,17,0,17,6,1,1
690,0,32,0,26,1,21,0,0,0
691,0,12,0,16,0,16,0,0,0
692,1,35,1,17,0,16,6,1,1
693,0,34,0,18,5,23,0,0,0
694,1,30,0,17,8,18,4,1,1
695,0,14,0,16,4,16,0,0,0
696,1,18,0,16,7,16,20,1,2
697,1,42,0,18,7,13,0,0,0
698,1,19,1,16,0,15,3,1,1
699,0,15,0,16,0,13,0,0,0
700,0,25,0,17,0,17,0,0,0
701,0,16,0,16,4,15,1,1,1
702,1,54,0,18,0,18,0,0,0
703,0,65,1,21,0,21,0,0,0
704,0,40,0,18,0,18,0,0,0
705,0,14,0,16,0,16,0,0,0
706,0,43,1,19,0,17,2,1,1
707,0,42,0,18,0,17,0,0,0
708,1,20,0,16,0,15,0,0,0
709,1,19,1,15,0,11,0,0,0
710,1,22,1,16,0,15,0,0,0
711,0,26,0,17,0,17,0,0,0
712,0,19,1,16,0,16,0,0,0
713,1,12,0,16,0,14,0,0,0
714,0,35,0,18,0,18,0,0,0
715,1,53,1,10,0,15,0,0,0
716,0,19,0,16,0,16,0,0,0
717,0,32,1,18,4,18,0,0,0
718,0,24,0,22,30,16,3,1,1
719,0,59,0,21,0,28,1,1,1
720,0,53,0,16,0,17,0,0,0
721,1,53,0,14,30,17,0,0,0
722,0,58,0,20,0,21,0,0,0
723,1,50,0,17,18,11,0,0,0
724,0,48,0,21,0,30,0,0,0
725,0,42,1,18,0,18,0,0,0
726,1,62,0,19,18,19,7,1,1
727,0,21,0,16,0,13,0,0,0
728,1,17,0,16,6,16,10,1,2
729,1,38,0,17,0,16,0,0,0
730,0,20,1,17,0,16,0,0,0
731,1,21,1,18,0,21,0,0,0
732,0,62,0,20,0,20,0,0,0
733,1,18,0,16,0,15,0,0,0
734,1,13,0,16,0,14,0,0,0
735,1,16,0,13,29,15,6,1,1
736,1,29,0,15,0,10,0,0,0
737,0,26,0,17,0,16,0,0,0
738,1,37,1,15,0,15,30,1,2
739,1,26,0,17,0,20,1,1,1
740,1,27,0,17,0,17,0,0,0
741,1,38,1,18,0,18,0,0,0
742,0,23,1,17,0,16,0,0,0
743,1,32,0,23,30,18,0,0,0
744,0,13,0,16,4,16,0,0,0
745,1,35,1,18,0,19,6,1,1
746,0,32,1,18,0,19,0,0,0
747,1,13,0,16,0,14,0,0,0
748,0,26,1,17,0,17,0,0,0
749,0,25,0,17,5,19,0,0,0
750,0,22,0,17,0,20,0,0,0
751,1,52,0,40,30,15,22,1,2
752,1,47,0,19,0,21,0,0,0
753,1,20,1,16,5,16,0,0,0
754,0,12,0,16,4,16,0,0,0
755,1,47,1,19,0,20,0,0,0
756,1,26,0,16,0,16,0,0,0
757,0,22,1,17,0,16,0,0,0
758,0,24,1,17,0,16,0,0,0
759,1,32,0,17,2,17,10,1,2
760,1,43,0,18,16,10,8,1,2
761,1,33,1,18,0,18,20,1,2
762,0,22,0,16,0,14,0,0,0
763,0,17,0,16,0,16,0,0,0
764,0,30,0,17,0,17,0,0,0
765,0,25,0,17,0,17,0,0,0
766,0,16,0,15,0,11,0,0,0
767,0,39,0,18,0,18,0,0,0
768,1,30,1,17,0,16,0,0,0
769,1,21,0,17,0,21,0,0,0
770,1,62,0,12,5,12,0,0,0
771,1,48,0,20,0,18,4,1,1
772,0,32,0,19,0,26,1,1,1
773,1,53,0,18,0,15,8,1,2
774,0,13,0,16,4,16,0,0,0
775,1,25,0,16,0,14,0,0,0
776,0,26,0,17,0,18,0,0,0
777,0,32,0,18,0,19,1,1,1
778,1,16,0,16,0,15,0,0,0
779,0,17,0,16,0,16,0,0,0
780,0,23,0,17,0,20,0,0,0
781,0,18,0,16,0,16,0,0,0
782,1,13,0,16,0,14,0,0,0
783,1,18,0,16,8,15,0,0,0
784,1,19,0,16,7,15,0,0,0
785,1,34,0,19,0,27,8,1,2
786,0,35,0,15,15,16,1,1,1
787,1,37,1,17,0,16,0,0,0
788,1,33,0,17,10,16,0,0,0
789,1,30,0,17,0,17,4,1,1
790,0,18,0,16,0,16,0,0,0
791,0,17,0,16,0,16,0,0,0
792,0,22,0,16,0,16,0,0,0
793,1,20,1,17,0,17,0,0,0
794,1,13,0,16,0,15,0,0,0
795,1,25,0,17,0,18,1,1,1
796,0,13,0,15,0,12,1,1,1
797,0,29,0,18,5,23,0,0,0
798,0,28,0,15,0,10,0,0,0
799,0,23,1,17,4,17,2,1,1
800,1,15,0,16,0,15,0,0,0
801,0,17,0,16,0,16,0,0,0
802,0,25,0,17,0,18,0,0,0
803,0,45,0,20,9,18,1,1,1
804,0,13,0,15,0,12,1,1,1
805,1,22,1,17,5,18,1,1,1
806,1,36,0,26,30,16,15,1,2
807,1,40,0,28,20,28,0,0,0
808,0,30,0,15,4,28,0,0,0
809,0,28,0,17,0,17,0,0,0
810,0,22,0,17,0,17,0,0,0
811,0,47,1,20,0,18,0,0,0
812,1,21,0,17,0,18,2,1,1
813,1,18,0,17,23,10,3,1,1
814,1,28,0,17,0,16,0,0,0
815,0,15,0,16,0,16,0,0,0
816,0,32,0,23,0,15,0,0,0
817,1,29,0,17,0,18,0,0,0
818,1,18,0,15,0,12,25,1,2
819,1,14,0,16,0,15,0,0,0
820,0,15,0,16,4,14,0,0,0
821,1,20,1,16,6,15,0,0,0
822,0,21,0,16,0,15,0,0,0
823,1,31,0,17,30,16,0,0,0
824,1,29,0,16,7,15,2,1,1
825,0,13,0,16,0,16,0,0,0
826,0,44,0,18,0,19,1,1,1
827,1,54,0,18,0,18,0,0,0
828,0,25,1,13,20,16,0,0,0
829,1,26,1,18,5,21,0,0,0
830,0,24,0,17,0,17,0,0,0
831,1,23,0,13,30,10,8,1,2
832,1,17,0,16,0,16,0,0,0
833,1,17,0,16,2,15,0,0,0
834,1,19,1,16,0,14,2,1,1
835,0,34,0,18,6,20,0,0,0
836,0,49,0,20,0,30,1,1,1
837,0,29,0,17,6,17,0,0,0
838,1,19,0,16,0,15,0,0,0
839,1,24,0,10,0,18,0,0,0
840,0,38,1,21,0,38,1,1,1
841,1,22,0,16,0,14,0,0,0
842,1,20,0,16,8,15,0,0,0
843,0,12,0,15,0,10,0,0,0
844,0,50,0,19,0,20,0,0,0
845,0,62,0,20,0,21,0,0,0
846,1,45,1,17,0,12,0,0,0
847,1,24,1,17,5,20,3,1,1
848,0,31,1,16,0,13,2,1,1
849,1,23,1,17,0,21,2,1,1
850,0,51,1,13,30,13,20,1,2
851,1,13,0,16,0,15,0,0,0
852,0,49,1,19,7,19,0,0,0
853,0,19,1,17,0,16,0,0,0
854,0,51,0,19,0,18,0,0,0
855,1,18,0,17,8,16,8,1,2
856,0,60,0,19,0,18,0,0,0
857,1,18,1,17,0,18,0,0,0
858,0,26,0,18,0,25,1,1,1
859,1,82,0,21,0,20,10,1,2
860,0,21,1,17,0,21,1,1,1
861,1,36,0,17,0,16,0,0,0
862,1,12,0,15,1,12,0,0,0
863,0,29,1,18,0,18,0,0,0
864,0,19,0,16,0,16,2,1,1
865,1,35,0,17,0,16,0,0,0
866,1,32,1,17,30,17,6,1,1
867,0,72,1,23,7,30,0,0,0
868,0,30,1,17,0,16,10,1,2
869,1,25,0,16,0,15,4,1,1
870,0,77,0,22,0,21,1,1,1
871,1,31,0,18,0,20,1,1,1
872,1,12,0,16,0,14,0,0,0
873,0,34,1,17,0,14,2,1,1
874,1,16,0,16,6,15,0,0,0
875,0,21,1,16,0,16,4,1,1
876,1,22,1,17,0,20,0,0,0
877,1,57,0,19,0,18,0,0,0
878,0,16,0,16,0,16,0,0,0
879,1,16,0,13,7,11,9,1,2
880,0,68,0,22,0,18,4,1,1
881,0,39,0,21,8,18,0,0,0
882,1,15,0,15,0,12,1,1,1
883,0,25,0,17,0,17,0,0,0
884,1,32,1,18,0,22,4,1,1
885,0,12,0,16,0,16,0,0,0
886,0,34,1,18,0,18,0,0,0
887,0,34,0,10,1,11,3,1,1
888,0,82,0,22,19,21,5,1,1
889,0,32,0,12,2,15,4,1,1
890,0,19,1,17,0,17,0,0,0
891,0,37,0,16,30,18,2,1,1
892,0,23,1,18,0,22,3,1,1
893,1,16,0,12,30,15,0,0,0
894,0,31,0,18,0,21,0,0,0
895,1,35,0,17,0,16,0,0,0
896,1,19,0,16,0,15,0,0,0
897,0,54,0,20,0,23,2,1,1
898,0,33,0,17,0,18,1,1,1
899,1,20,0,18,30,10,0,0,0
900,1,29,0,12,7,15,0,0,0
901,0,28,1,17,0,14,10,1,2
902,1,25,1,17,0,16,1,1,1
903,1,19,0,16,0,15,0,0,0
904,1,18,0,16,0,15,0,0,0
905,0,46,1,19,0,22,0,0,0
906,1,46,1,16,0,10,4,1,1
907,1,25,1,16,0,11,2,1,1
908,1,29,1,17,0,19,4,1,1
909,0,20,1,20,18,18,1,1,1
910,0,12,0,15,4,11,0,0,0
911,1,13,0,16,0,15,0,0,0
912,0,33,1,18,0,18,0,0,0
913,0,33,1,17,0,16,5,1,1
914,0,47,0,19,0,19,0,0,0
915,0,30,1,17,0,15,0,0,0
916,0,57,0,30,30,30,20,1,2
917,0,22,0,17,0,18,0,0,0
918,1,12,0,15,0,14,0,0,0
919,1,27,1,16,0,14,6,1,1
920,1,13,0,16,0,15,0,0,0
921,1,46,0,19,0,21,3,1,1
922,0,17,0,15,0,12,3,1,1
923,0,67,0,22,10,30,1,1,1
924,1,77,0,17,0,20,1,1,1
925,1,17,0,16,7,15,0,0,0
926,0,65,1,20,30,10,0,0,0
927,0,36,1,19,0,23,0,0,0
928,1,26,1,17,0,19,15,1,2
929,0,24,1,15,21,10,5,1,1
930,0,23,1,19,29,15,0,0,0
931,0,38,0,16,30,15,6,1,1
932,0,17,0,17,0,17,0,0,0
933,0,40,0,20,30,18,4,1,1
934,1,31,0,13,10,16,5,1,1
935,0,25,1,16,30,16,0,0,0
936,1,29,1,17,0,16,5,1,1
937,1,17,0,16,7,15,0,0,0
938,0,29,1,17,0,16,0,0,0
939,1,36,0,18,30,16,0,0,0
940,0,62,0,18,30,18,4,1,1
941,0,27,1,16,0,13,12,1,2
942,1,36,0,15,10,15,18,1,2
943,1,22,0,16,0,15,0,0,0
944,0,29,1,19,0,24,0,0,0
945,0,66,0,14,0,18,0,0,0
946,1,41,1,18,0,16,0,0,0
947,0,19,0,16,0,13,0,0,0
948,0,29,1,17,4,18,0,0,0
949,0,34,1,18,0,17,3,1,1
950,0,21,1,16,5,15,0,0,0
951,1,14,0,16,0,15,0,0,0
952,0,34,0,15,30,17,0,0,0
953,1,25,0,16,0,15,1,1,1
954,0,29,0,17,0,17,0,0,0
955,0,17,0,16,0,14,6,1,1
956,1,24,1,20,30,19,6,1,1
957,0,39,0,20,8,19,0,0,0
958,0,28,1,18,0,20,0,0,0
959,0,22,0,16,5,16,0,0,0
960,1,39,1,18,0,20,0,0,0
961,1,20,0,15,30,16,0,0,0
962,1,23,1,17,30,13,29,1,2
963,0,77,1,22,0,21,10,1,2
964,0,72,0,17,30,15,0,0,0
965,1,16,0,16,0,16,1,1,1
966,1,30,1,18,0,19,0,0,0
967,0,82,0,18,18,18,4,1,1
968,0,22,0,21,1,16,4,1,1
969,0,27,1,17,0,16,3,1,1
970,0,43,0,16,0,17,10,1,2
971,1,61,1,19,19,10,8,1,2
972,0,29,0,15,5,20,0,0,0
973,0,31,1,28,0,15,0,0,0
974,0,67,1,22,0,24,0,0,0
975,0,24,1,18,0,23,1,1,1
976,0,24,0,18,20,17,7,1,1
977,0,53,0,20,20,32,0,0,0
978,0,14,0,16,0,16,0,0,0
979,1,12,0,16,0,15,0,0,0
980,0,12,0,16,0,16,0,0,0
981,1,26,0,16,27,17,5,1,1
982,0,39,1,18,0,18,0,0,0
983,0,21,1,19,30,16,1,1,1
984,1,23,1,16,30,14,0,0,0
985,1,22,1,16,30,19,5,1,1
986,1,28,1,18,0,20,3,1,1
987,0,38,1,18,30,14,0,0,0
988,0,25,0,16,6,15,0,0,0
989,0,43,1,19,0,20,5,1,1
990,0,17,0,14,4,16,3,1,1
991,1,19,0,14,30,15,5,1,1
992,0,13,0,16,0,16,0,0,0
993,0,20,0,13,20,15,1,1,1
994,0,35,0,14,7,15,28,1,2
995,0,31,0,17,0,17,0,0,0
996,0,25,1,17,4,17,0,0,0
997,1,15,0,16,0,15,0,0,0
998,1,43,0,17,0,15,2,1,1
999,1,25,0,16,0,13,4,1,1
1000,0,21,1,16,0,14,1,1,1
1001,0,18,0,16,0,16,0,0,0
1002,0,52,0,15,0,16,0,0,0
1003,0,21,1,18,0,21,0,0,0
1004,0,48,0,19,0,21,0,0,0
1005,1,44,1,19,0,22,5,1,1
1006,0,22,1,17,0,17,0,0,0
1007,1,35,0,17,0,18,3,1,1
1008,1,25,1,19,30,16,0,0,0
1009,1,23,0,15,0,12,0,0,0
1010,0,32,1,18,0,21,0,0,0
1011,1,35,1,20,30,16,8,1,2
1012,0,14,0,16,0,16,0,0,0
1013,0,13,0,16,0,16,0,0,0
1014,0,19,0,17,0,17,0,0,0
1015,0,21,1,16,0,12,1,1,1
1016,0,41,1,18,0,18,0,0,0
1017,1,18,0,16,0,18,1,1,1
1018,1,38,1,16,30,16,10,1,2
1019,1,27,1,16,0,14,5,1,1
1020,0,16,0,14,5,14,25,1,2
1021,1,17,0,16,0,15,0,0,0
1022,0,22,0,21,2,18,2,1,1
1023,0,31,1,24,0,21,4,1,1
1024,0,19,1,19,30,17,6,1,1
1025,1,12,0,16,6,15,0,0,0
1026,1,15,0,15,30,14,0,0,0
1027,0,37,0,21,20,15,0,0,0
1028,0,27,1,17,0,14,5,1,1
1029,0,20,1,17,0,16,0,0,0
1030,1,21,0,16,0,15,0,0,0
1031,0,43,1,17,0,14,3,1,1
1032,0,77,1,22,0,23,0,0,0
1033,0,30,1,18,0,21,1,1,1
1034,1,19,0,16,0,15,0,0,0
1035,1,19,0,16,30,16,0,0,0
1036,0,23,1,16,0,14,15,1,2
1037,1,60,0,17,21,12,0,0,0
1038,0,16,0,16,0,13,0,0,0
1039,0,30,1,18,20,15,0,0,0
1040,1,18,0,16,7,17,4,1,1
1041,0,21,1,17,0,20,0,0,0
1042,0,14,0,16,0,16,0,0,0
1043,0,13,0,16,0,16,0,0,0
1044,1,64,1,20,0,20,4,1,1
1045,0,26,1,17,4,17,0,0,0
1046,0,19,0,18,5,17,1,1,1
1047,1,21,0,16,0,17,0,0,0
1048,0,25,0,18,0,21,0,0,0
1049,1,21,0,16,0,17,3,1,1
1050,1,26,1,16,0,14,1,1,1
1051,1,14,0,15,0,11,1,1,1
1052,0,46,0,21,10,19,0,0,0
1053,1,77,1,14,30,10,1,1,1
1054,0,17,0,16,0,16,0,0,0
1055,0,20,0,19,30,17,1,1,1
1056,1,21,1,16,0,15,2,1,1
1057,1,48,0,22,0,16,0,0,0
1058,0,18,1,16,0,16,0,0,0
1059,1,20,0,16,0,16,0,0,0
1060,0,18,0,16,5,17,1,1,1
1061,0,13,0,16,0,16,0,0,0
1062,0,12,0,16,0,16,0,0,0
1063,0,13,0,16,0,16,0,0,0
1064,1,15,0,16,0,15,0,0,0
1065,0,16,0,16,0,16,0,0,0
1066,1,17,0,16,0,15,0,0,0
1067,1,25,0,16,0,14,2,1,1
1068,0,12,0,16,0,16,0,0,0
1069,1,12,0,10,0,10,1,1,1
1070,0,49,1,19,0,20,0,0,0
1071,1,54,1,19,0,17,0,0,0
1072,0,19,1,17,4,16,0,0,0
1073,0,13,0,16,0,16,0,0,0
1074,1,65,0,18,0,14,2,1,1
1075,0,35,0,18,0,18,0,0,0
1076,1,68,1,18,0,15,0,0,0
1077,1,17,0,16,0,17,2,1,1
1078,1,45,0,17,30,16,13,1,2
1079,0,13,0,15,1,12,2,1,1
1080,1,16,0,15,0,16,0,0,0
1081,1,55,0,21,30,18,28,1,2
1082,0,15,0,16,0,15,0,0,0
1083,0,18,0,16,0,16,0,0,0
1084,1,22,0,16,8,15,6,1,1
1085,0,18,0,16,0,16,0,0,0
1086,0,34,0,15,6,20,0,0,0
1087,0,20,0,17,5,16,4,1,1
1088,0,19,0,16,0,16,0,0,0
1089,0,16,0,16,0,16,0,0,0
1090,0,39,0,18,0,21,0,0,0
1091,0,19,0,16,0,16,0,0,0
1092,1,21,0,18,30,10,30,1,2
1093,0,17,0,16,0,16,0,0,0
1094,0,36,0,18,0,19,1,1,1
1095,1,17,0,16,0,15,0,0,0
1096,1,26,1,17,0,16,2,1,1
1097,0,18,0,16,0,16,0,0,0
1098,0,24,1,17,0,18,0,0,0
1099,0,37,1,20,0,26,0,0,0
1100,0,29,0,18,30,18,11,1,2
1101,0,28,0,17,0,17,0,0,0
1102,0,24,0,22,30,16,3,1,1
1103,1,16,0,16,3,15,0,0,0
1104,1,14,0,16,0,15,0,0,0
1105,1,67,0,20,0,19,0,0,0
1106,1,31,1,17,0,18,12,1,2
1107,0,16,0,16,0,16,0,0,0
1108,0,19,0,18,30,16,0,0,0
1109,0,25,1,16,0,13,4,1,1
1110,1,23,0,16,0,13,0,0,0
1111,0,28,0,14,30,14,12,1,2
1112,0,16,0,16,0,15,0,0,0
1113,0,17,0,16,0,16,1,1,1
1114,0,39,1,19,0,21,0,0,0
1115,0,25,1,18,0,21,0,0,0
1116,1,12,0,16,0,15,0,0,0
1117,0,28,0,24,30,18,0,0,0
1118,1,36,1,18,0,18,4,1,1
1119,0,16,0,16,0,16,0,0,0
1120,0,31,0,14,7,19,2,1,1
1121,0,29,0,17,30,18,1,1,1
1122,0,42,0,20,6,27,0,0,0
1123,0,19,0,16,0,16,0,0,0
1124,0,51,0,19,0,20,0,0,0
1125,1,30,1,18,0,23,8,1,2
1126,0,67,0,20,0,20,0,0,0
1127,0,82,0,22,0,20,0,0,0
1128,1,51,0,16,30,17,4,1,1
1129,0,15,0,16,0,16,0,0,0
1130,1,21,0,13,7,16,30,1,2
1131,1,53,1,19,0,18,0,0,0
1132,0,24,0,17,0,17,0,0,0
1133,0,54,0,18,30,20,0,0,0
1134,0,48,0,18,0,19,0,0,0
1135,1,18,0,16,7,15,20,1,2
1136,1,25,0,17,0,17,25,1,2
1137,0,39,1,15,0,16,0,0,0
1138,0,64,0,21,0,25,0,0,0
1139,1,64,0,19,0,19,0,0,0
1140,1,28,0,15,12,10,0,0,0
1141,0,17,0,16,1,14,0,0,0
1142,0,13,0,16,4,16,0,0,0
1143,0,16,0,16,0,16,0,0,0
1144,1,30,1,15,0,10,0,0,0
1145,0,38,0,19,20,25,2,1,1
1146,1,29,0,19,30,18,4,1,1
1147,0,24,0,19,30,13,4,1,1
1148,1,15,0,15,0,12,0,0,0
1149,1,35,1,17,0,16,0,0,0
1150,1,61,0,15,0,16,0,0,0
1151,0,44,1,18,0,16,2,1,1
1152,1,37,1,15,30,18,25,1,2
1153,0,16,0,16,0,16,0,0,0
1154,0,21,1,17,0,20,0,0,0
1155,1,13,0,15,0,14,0,0,0
1156,1,38,1,18,0,20,2,1,1
1157,1,23,0,13,9,10,0,0,0
1158,1,15,0,16,0,15,0,0,0
1159,1,82,1,21,0,18,0,0,0
1160,0,41,1,18,0,16,0,0,0
1161,0,15,0,16,5,14,0,0,0
1162,1,12,0,16,0,14,0,0,0
1163,1,31,1,17,12,16,0,0,0
1164,1,35,1,21,8,16,8,1,2
1165,0,35,1,19,0,23,2,1,1
1166,1,33,0,17,0,15,1,1,1
1167,0,25,0,17,1,19,2,1,1
1168,1,14,0,16,0,14,0,0,0
1169,1,34,1,15,0,17,7,1,1
1170,0,14,0,14,4,13,0,0,0
1171,0,47,1,18,0,17,10,1,2
1172,0,42,1,18,6,16,3,1,1
1173,0,43,1,19,0,20,1,1,1
1174,1,33,0,17,20,16,7,1,1
1175,1,23,1,17,0,17,1,1,1
1176,0,65,1,19,0,15,20,1,2
1177,1,15,0,15,30,12,0,0,0
1178,1,30,0,19,11,15,5,1,1
1179,1,20,0,17,30,17,2,1,1
1180,1,16,0,15,0,11,0,0,0
1181,0,16,0,16,0,14,0,0,0
1182,0,43,1,16,30,30,20,1,2
1183,0,28,0,16,30,16,0,0,0
1184,0,30,0,15,15,16,2,1,1
1185,0,13,0,16,0,16,0,0,0
1186,0,17,0,15,0,10,0,0,0
1187,1,48,1,20,0,18,8,1,2
1188,1,14,0,11,0,10,0,0,0
1189,0,15,0,15,5,11,0,0,0
1190,1,13,0,16,0,14,0,0,0
1191,1,61,1,20,0,19,0,0,0
1192,0,39,1,18,0,18,0,0,0
1193,1,62,1,18,13,17,10,1,2
1194,0,66,0,16,30,26,0,0,0
1195,1,56,1,18,20,21,0,0,0
1196,0,13,0,16,0,16,0,0,0
1197,1,21,0,16,0,15,0,0,0
1198,0,13,0,16,0,16,0,0,0
1199,1,22,0,17,7,17,0,0,0
1200,0,19,0,13,30,16,0,0,0
1201,1,50,0,48,30,18,2,1,1
1202,0,20,0,10,30,18,0,0,0
1203,0,12,0,16,4,16,0,0,0
1204,0,12,0,16,0,15,0,0,0
1205,1,24,0,13,0,15,6,1,1
1206,1,20,0,16,0,16,0,0,0
1207,0,14,0,16,0,14,1,1,1
1208,0,15,0,16,0,14,0,0,0
1209,0,16,0,15,5,12,2,1,1
1210,1,21,0,19,30,10,2,1,1
1211,0,24,0,17,0,17,0,0,0
1212,1,22,0,16,0,17,3,1,1
1213,1,23,0,16,2,14,1,1,1
1214,1,16,0,14,30,15,0,0,0
1215,1,19,0,16,5,14,2,1,1
1216,1,12,0,16,0,14,0,0,0
1217,1,21,0,16,0,16,26,1,2
1218,0,35,1,18,0,18,4,1,1
1219,1,12,0,16,0,15,0,0,0
1220,0,21,1,17,0,16,0,0,0
1221,0,23,1,17,0,17,0,0,0
1222,1,13,0,16,0,15,0,0,0
1223,0,24,1,17,10,18,5,1,1
1224,1,19,0,16,0,15,0,0,0
1225,1,15,0,16,0,14,0,0,0
1226,1,13,0,16,0,15,0,0,0
1227,1,14,0,16,6,15,0,0,0
1228,1,16,0,16,0,15,0,0,0
1229,1,18,0,16,0,15,0,0,0
1230,1,23,0,17,0,18,20,1,2
1231,0,49,1,16,30,18,0,0,0
1232,0,22,0,16,0,15,0,0,0
1233,0,12,0,16,0,15,0,0,0
1234,0,25,0,18,30,18,1,1,1
1235,0,34,0,12,30,16,0,0,0
1236,1,13,0,16,0,15,0,0,0
1237,1,17,0,14,30,12,10,1,2
1238,0,40,0,18,30,15,0,0,0
1239,1,17,0,16,0,16,0,0,0
1240,1,17,0,16,0,15,0,0,0
1241,0,12,0,16,0,16,0,0,0
1242,1,21,1,18,30,16,12,1,2
1243,0,20,1,16,1,12,3,1,1
1244,0,29,1,17,0,16,1,1,1
1245,1,15,0,16,0,15,0,0,0
1246,0,17,0,16,0,16,0,0,0
1247,0,25,0,17,0,19,0,0,0
1248,0,39,1,18,30,16,4,1,1
1249,0,15,0,16,0,16,0,0,0
1250,0,72,0,12,12,21,0,0,0
1251,1,16,0,16,0,15,0,0,0
1252,0,33,1,27,9,12,1,1,1
1253,0,22,1,18,3,15,0,0,0
1254,1,16,0,15,0,11,0,0,0
1255,1,50,0,16,30,16,2,1,1
1256,0,14,0,16,0,16,0,0,0
1257,1,19,0,17,15,19,2,1,1
1258,1,15,0,16,0,14,0,0,0
1259,0,23,0,17,4,16,0,0,0
1260,1,12,0,15,0,14,0,0,0
1261,0,42,0,19,10,21,4,1,1
1262,0,13,0,16,1,16,0,0,0
1263,1,22,0,15,0,10,0,0,0
1264,0,20,1,18,30,20,1,1,1
1265,0,27,1,16,0,13,6,1,1
1266,0,25,1,17,0,16,3,1,1
1267,0,17,0,16,30,15,0,0,0
1268,0,20,1,17,30,14,2,1,1
1269,0,14,0,13,15,13,2,1,1
1270,0,22,1,17,30,15,0,0,0
1271,1,21,1,16,0,15,10,1,2
1272,1,18,0,13,0,14,15,1,2
1273,0,27,0,12,30,13,2,1,1
1274,0,16,0,15,23,14,5,1,1
1275,1,15,0,16,0,15,0,0,0
1276,0,15,0,16,0,14,0,0,0
1277,1,63,1,18,0,16,10,1,2
1278,1,16,0,16,0,16,0,0,0
1279,1,15,0,16,0,14,0,0,0
1280,0,13,0,15,0,13,0,0,0
1281,1,16,0,16,0,15,0,0,0
1282,1,34,1,16,2,13,15,1,2
1283,1,12,0,16,0,14,0,0,0
1284,0,41,1,18,6,16,0,0,0
1285,0,35,1,11,0,13,0,0,0
1286,0,29,1,16,7,16,20,1,2
1287,0,35,0,14,0,17,15,1,2
1288,1,15,0,16,0,15,0,0,0
1289,0,43,1,17,0,14,0,0,0
1290,0,31,0,16,0,14,2,1,1
1291,1,18,0,15,0,12,1,1,1
1292,0,19,1,16,30,14,1,1,1
1293,1,59,1,15,30,17,20,1,2
1294,1,68,0,17,0,10,0,0,0
1295,0,18,0,16,0,16,0,0,0
1296,1,24,1,16,0,15,0,0,0
1297,0,42,1,18,0,16,0,0,0
1298,0,31,1,17,0,16,1,1,1
1299,0,52,0,18,0,15,5,1,1
1300,0,12,0,16,0,16,0,0,0
1301,1,29,1,17,0,16,0,0,0
1302,0,21,0,16,0,16,0,0,0
1303,0,15,0,16,0,16,0,0,0
1304,1,15,0,15,7,13,10,1,2
1305,1,15,0,13,2,10,0,0,0
1306,0,42,1,19,0,20,0,0,0
1307,0,16,0,16,0,15,0,0,0
1308,0,15,0,16,0,16,0,0,0
1309,0,13,0,16,0,16,0,0,0
1310,0,25,1,17,0,17,0,0,0
1311,0,13,0,16,0,16,0,0,0
1312,1,18,0,15,30,13,1,1,1
1313,1,52,1,18,0,16,20,1,2
1314,0,17,0,16,5,15,1,1,1
1315,1,18,0,16,8,13,13,1,2
1316,0,18,0,16,0,16,0,0,0
1317,0,16,0,16,0,16,0,0,0
1318,0,30,1,17,0,16,4,1,1
1319,0,51,0,14,30,18,0,0,0
1320,1,19,0,14,6,18,19,1,2
1321,0,14,0,15,0,12,0,0,0
1322,0,12,0,16,0,16,0,0,0
1323,0,22,1,17,0,16,0,0,0
1324,0,23,0,17,0,17,0,0,0
1325,1,14,0,16,0,15,0,0,0
1326,0,14,0,15,0,10,0,0,0
1327,0,14,0,16,0,16,0,0,0
1328,0,23,1,14,4,13,12,1,2
1329,0,72,0,17,0,15,0,0,0
1330,0,15,0,16,0,16,0,0,0
1331,0,20,1,16,4,15,0,0,0
1332,1,18,0,16,0,16,0,0,0
1333,1,12,0,16,0,15,0,0,0
1334,0,29,0,14,0,14,2,1,1
1335,0,13,0,16,0,16,0,0,0
1336,0,25,0,21,0,18,0,0,0
1337,0,36,0,17,0,17,1,1,1
1338,1,39,1,17,0,15,0,0,0
1339,0,44,0,18,0,18,1,1,1
1340,1,20,1,12,1,20,1,1,1
1341,0,32,0,18,30,17,2,1,1
1342,1,30,0,17,9,16,0,0,0
1343,1,16,0,16,0,15,0,0,0
1344,1,18,0,18,29,10,4,1,1
1345,0,45,1,18,0,17,1,1,1
1346,0,23,0,17,0,17,0,0,0
1347,1,18,0,16,30,10,30,1,2
1348,1,26,0,16,0,13,1,1,1
1349,0,33,0,17,0,18,0,0,0
1350,1,20,0,16,0,14,0,0,0
1351,0,18,1,17,4,17,0,0,0
1352,1,26,0,17,0,17,0,0,0
1353,0,31,1,17,5,14,2,1,1
1354,0,16,0,16,0,16,0,0,0
1355,0,24,0,14,0,15,0,0,0
1356,1,13,0,16,0,14,0,0,0
1357,0,14,0,16,0,16,0,0,0
1358,1,23,0,17,0,18,0,0,0
1359,0,26,0,17,0,17,0,0,0
1360,0,19,0,16,0,16,1,1,1
1361,0,16,0,16,2,16,0,0,0
1362,1,25,1,16,0,13,1,1,1
1363,1,27,0,18,8,18,0,0,0
1364,1,62,0,13,16,18,0,0,0
1365,0,35,0,17,0,18,0,0,0
